Metric,NN Mean,NN Std,NP Mean,NP Std,Δ (abs),p-value,Cohen's d
Time per sample (ms),0.13725124218758822,0.0008886283851621999,0.1372178505859445,6.28088608374595e-05,-3.3391601643728563e-05,0.9102593530820842,-0.05300904160939613
Throughput (samples/sec),7286.179085842887,46.4266072453594,7287.682938209303,3.335215247063451,1.5038523664161403,0.9226219687910182,0.04569150785737249
