Metric,NN Mean,NN Std,NP Mean,NP Std,Δ (abs),p-value,Cohen's d
Accuracy,69.405,0.5720576893985413,70.451,0.5873755187271621,1.0459999999999914,0.003217333025840604,1.8041724499771303
Precision,70.80603269170156,0.5448291345742909,71.10523425051456,0.6311505936602316,0.29920155881300037,0.3394681086986917,0.5074895874417501
Recall,69.405,0.5720576893985476,70.451,0.5873755187271613,1.0459999999999914,0.00321733302584076,1.8041724499771221
F1 Score,69.24449433495437,0.6883056585178746,70.39576227313037,0.5015216939247302,1.151267938176015,0.003968493858275073,1.9117713794004003
